CHR,START,END,ENTREZ,r01_100kb_count,r03_100kb_count,r05_100kb_count,all_SNPs_100kb,r01_10kb_count,r03_10kb_count,r05_10kb_count,all_SNPs_10kb,GENE_SIZE,ratio_r01_100kb,ratio_r03_100kb,ratio_r05_100kb,ratio_allSNPs_100kb,ratio_r01_10kb,ratio_r03_10kb,ratio_r05_10kb,ratio_all_SNPs_10kb
chr20,43374421,43379675,60598,13,34,48,589,3,5,6,79,5254,0.01%,0.02%,0.02%,0.29%,0.01%,0.02%,0.02%,0.31%
chr16,3661729,3730144,1773,17,42,62,806,3,12,17,289,68415,0.01%,0.02%,0.02%,0.30%,0.00%,0.01%,0.02%,0.33%
chr5,68576002,68628636,202243,16,32,39,699,5,8,9,226,52634,0.01%,0.01%,0.02%,0.28%,0.01%,0.01%,0.01%,0.31%
chr11,61976140,61981408,4246,13,39,58,890,1,3,4,76,5268,0.01%,0.02%,0.03%,0.43%,0.00%,0.01%,0.02%,0.30%
chr8,91070836,91107703,793,15,19,24,709,1,3,4,171,36867,0.01%,0.01%,0.01%,0.30%,0.00%,0.01%,0.01%,0.30%
chr20,33759876,33765165,10544,13,27,40,598,0,3,4,59,5289,0.01%,0.01%,0.02%,0.29%,0.00%,0.01%,0.02%,0.23%
chr9,86237964,86259045,414328,14,44,82,702,2,4,12,146,21081,0.01%,0.02%,0.04%,0.32%,0.00%,0.01%,0.03%,0.36%
chr15,31231144,31283810,54893,16,39,64,865,5,8,13,247,52666,0.01%,0.02%,0.03%,0.34%,0.01%,0.01%,0.02%,0.34%
chr7,139208602,139229730,154790,14,46,66,731,3,7,10,115,21128,0.01%,0.02%,0.03%,0.33%,0.01%,0.02%,0.02%,0.28%
chr2,220415451,220436581,23363,14,36,49,578,3,10,12,144,21130,0.01%,0.02%,0.02%,0.26%,0.01%,0.02%,0.03%,0.35%
chr19,39876492,39881835,54623,13,29,41,655,1,5,6,66,5343,0.01%,0.01%,0.02%,0.32%,0.00%,0.02%,0.02%,0.26%
chr19,38741877,38747231,94274,13,43,59,672,3,7,10,107,5354,0.01%,0.02%,0.03%,0.33%,0.01%,0.03%,0.04%,0.42%
chr1,178694300,178889238,55103,25,74,103,1281,4,21,26,556,194938,0.01%,0.02%,0.03%,0.32%,0.00%,0.01%,0.01%,0.26%
chr11,67820326,67888911,1119,17,38,55,771,4,12,17,169,68585,0.01%,0.01%,0.02%,0.29%,0.00%,0.01%,0.02%,0.19%
chr12,104510855,104532067,4801,14,37,64,701,5,7,10,124,21212,0.01%,0.02%,0.03%,0.32%,0.01%,0.02%,0.02%,0.30%
chr15,47476298,48066420,80031,50,108,165,2994,32,74,122,2265,590122,0.01%,0.01%,0.02%,0.38%,0.01%,0.01%,0.02%,0.37%
chr19,5587010,5624057,9667,15,43,76,978,4,7,10,181,37047,0.01%,0.02%,0.03%,0.41%,0.01%,0.01%,0.02%,0.32%
chr12,4647950,4669214,10635,14,34,57,683,1,4,8,96,21264,0.01%,0.02%,0.03%,0.31%,0.00%,0.01%,0.02%,0.23%
chr1,161185024,161190489,2207,13,28,58,675,2,4,11,80,5465,0.01%,0.01%,0.03%,0.33%,0.01%,0.02%,0.04%,0.31%
chr18,56148479,56296189,115701,22,87,139,1298,10,57,87,741,147710,0.01%,0.03%,0.04%,0.37%,0.01%,0.03%,0.05%,0.44%
chr8,65500320,65711318,9420,26,50,71,1021,9,19,27,520,210998,0.01%,0.01%,0.02%,0.25%,0.00%,0.01%,0.01%,0.23%
chr10,105213144,105218645,255022,13,27,42,531,3,5,9,75,5501,0.01%,0.01%,0.02%,0.26%,0.01%,0.02%,0.04%,0.29%
chr19,49570675,49576198,3743,13,47,80,958,0,5,7,105,5523,0.01%,0.02%,0.04%,0.47%,0.00%,0.02%,0.03%,0.41%
chr16,58059470,58080805,4324,14,34,55,800,3,6,8,109,21335,0.01%,0.02%,0.02%,0.36%,0.01%,0.01%,0.02%,0.26%
chr16,69796209,69975644,11060,24,51,72,1254,17,30,37,707,179435,0.01%,0.01%,0.02%,0.33%,0.01%,0.02%,0.02%,0.35%
chr3,121311966,121349139,51725,15,51,80,705,7,20,34,226,37173,0.01%,0.02%,0.03%,0.30%,0.01%,0.03%,0.06%,0.40%
chr10,74870217,74891586,25961,14,16,17,676,6,7,8,140,21369,0.01%,0.01%,0.01%,0.31%,0.01%,0.02%,0.02%,0.34%
chr2,187692562,187713935,151112,14,33,46,683,4,10,10,169,21373,0.01%,0.01%,0.02%,0.31%,0.01%,0.02%,0.02%,0.41%
chr16,69389464,69442474,7014,16,57,96,731,4,8,12,163,53010,0.01%,0.02%,0.04%,0.29%,0.01%,0.01%,0.02%,0.22%
chr8,27168999,27316903,2185,22,63,102,1207,7,30,45,588,147904,0.01%,0.02%,0.03%,0.35%,0.00%,0.02%,0.03%,0.35%
chr2,120197419,120282070,6344,18,44,66,981,10,19,31,446,84651,0.01%,0.02%,0.02%,0.34%,0.01%,0.02%,0.03%,0.43%
chr3,167159577,167196792,5276,15,36,46,694,3,6,10,206,37215,0.01%,0.02%,0.02%,0.29%,0.01%,0.01%,0.02%,0.36%
chr14,53173890,53195305,5706,14,30,40,529,2,5,6,100,21415,0.01%,0.01%,0.02%,0.24%,0.00%,0.01%,0.01%,0.24%
chr2,219081817,219119079,10109,15,20,21,594,6,7,6,140,37262,0.01%,0.01%,0.01%,0.25%,0.01%,0.01%,0.01%,0.24%
chr1,68511645,68517314,9077,13,40,56,781,1,1,2,73,5669,0.01%,0.02%,0.03%,0.38%,0.00%,0.00%,0.01%,0.28%
chr12,86372516,87232681,25834,67,137,197,3783,49,99,142,3011,860165,0.01%,0.01%,0.02%,0.36%,0.01%,0.01%,0.02%,0.34%
chr3,100211463,100296288,55076,18,35,50,1167,9,13,19,409,84825,0.01%,0.01%,0.02%,0.41%,0.01%,0.01%,0.02%,0.39%
chr20,43738093,43743813,149708,13,30,46,644,3,9,13,101,5720,0.01%,0.01%,0.02%,0.31%,0.01%,0.03%,0.05%,0.39%
chr12,123258874,123312075,84660,16,34,45,839,4,9,13,282,53201,0.01%,0.01%,0.02%,0.33%,0.01%,0.01%,0.02%,0.39%
chr1,24882602,24935819,400746,16,47,75,812,6,20,37,354,53217,0.01%,0.02%,0.03%,0.32%,0.01%,0.03%,0.05%,0.48%
chr6,149768794,149806197,340152,15,33,42,749,2,8,13,259,37403,0.01%,0.01%,0.02%,0.32%,0.00%,0.01%,0.02%,0.45%
chr6,155054459,155155192,22828,19,45,83,928,7,8,15,314,100733,0.01%,0.01%,0.03%,0.31%,0.01%,0.01%,0.01%,0.26%
chr2,220192131,220197899,389075,13,23,30,599,2,4,4,89,5768,0.01%,0.01%,0.01%,0.29%,0.01%,0.02%,0.02%,0.35%
chr1,205681947,205719404,64710,15,44,66,831,2,6,9,183,37457,0.01%,0.02%,0.03%,0.35%,0.00%,0.01%,0.02%,0.32%
chr4,55095264,55164414,5156,17,37,51,844,7,10,13,240,69150,0.01%,0.01%,0.02%,0.31%,0.01%,0.01%,0.01%,0.27%
chr10,43572475,43625799,5979,16,56,82,975,6,14,23,310,53324,0.01%,0.02%,0.03%,0.38%,0.01%,0.02%,0.03%,0.42%
chr14,60062694,60337684,6252,30,59,76,1328,15,30,38,713,274990,0.01%,0.01%,0.02%,0.28%,0.01%,0.01%,0.01%,0.24%
chr8,145596790,145618457,203054,14,36,50,579,3,8,11,94,21667,0.01%,0.02%,0.02%,0.26%,0.01%,0.02%,0.03%,0.23%
chr17,33905065,34053436,163,22,45,81,1195,6,23,38,574,148371,0.01%,0.01%,0.02%,0.34%,0.00%,0.01%,0.02%,0.34%
chr8,24241798,24263526,27299,14,30,56,736,2,2,4,69,21728,0.01%,0.01%,0.03%,0.33%,0.00%,0.00%,0.01%,0.17%
chr5,176938578,176944470,51428,13,28,40,521,2,4,4,54,5892,0.01%,0.01%,0.02%,0.25%,0.01%,0.02%,0.02%,0.21%
chr2,113670548,113676459,27178,13,36,52,606,2,6,8,123,5911,0.01%,0.02%,0.03%,0.29%,0.01%,0.02%,0.03%,0.47%
chr11,76927603,77012732,220032,18,42,59,1011,5,12,20,426,85129,0.01%,0.01%,0.02%,0.35%,0.00%,0.01%,0.02%,0.41%
chr8,41510739,41754280,286,28,71,114,1559,19,43,70,1007,243541,0.01%,0.02%,0.03%,0.35%,0.01%,0.02%,0.03%,0.38%
chr7,126986844,127071978,168850,18,64,84,1029,9,24,34,364,85134,0.01%,0.02%,0.03%,0.36%,0.01%,0.02%,0.03%,0.35%
chr2,37458774,37480546,55471,14,40,55,1175,3,6,7,176,21772,0.01%,0.02%,0.02%,0.53%,0.01%,0.01%,0.02%,0.42%
chr15,73735499,73852355,283677,20,25,36,768,5,6,8,318,116856,0.01%,0.01%,0.01%,0.24%,0.00%,0.00%,0.01%,0.23%
chr22,38474141,38480100,23539,13,28,38,600,2,3,5,59,5959,0.01%,0.01%,0.02%,0.29%,0.01%,0.01%,0.02%,0.23%
chr3,49454211,49460186,275,13,28,35,416,2,6,6,47,5975,0.01%,0.01%,0.02%,0.20%,0.01%,0.02%,0.02%,0.18%
chr19,5904869,5910864,400673,13,53,90,818,1,6,10,103,5995,0.01%,0.03%,0.04%,0.40%,0.00%,0.02%,0.04%,0.40%
chr9,116638562,116818871,114991,24,81,135,1319,14,44,64,698,180309,0.01%,0.02%,0.04%,0.35%,0.01%,0.02%,0.03%,0.35%
chr14,70242134,70264006,6554,14,33,50,698,2,6,8,106,21872,0.01%,0.01%,0.02%,0.31%,0.00%,0.01%,0.02%,0.25%
chr10,101462315,101515891,51076,16,39,53,686,1,9,13,142,53576,0.01%,0.02%,0.02%,0.27%,0.00%,0.01%,0.02%,0.19%
chr2,29117509,29171088,23160,16,43,66,896,3,14,23,273,53579,0.01%,0.02%,0.03%,0.35%,0.00%,0.02%,0.03%,0.37%
chr2,219919142,219925189,3549,13,22,26,507,1,2,2,93,6047,0.01%,0.01%,0.01%,0.25%,0.00%,0.01%,0.01%,0.36%
chr11,65482367,65488418,84153,13,36,55,560,3,8,11,100,6051,0.01%,0.02%,0.03%,0.27%,0.01%,0.03%,0.04%,0.38%
chr1,8064464,8086368,54206,14,25,37,537,3,4,8,75,21904,0.01%,0.01%,0.02%,0.24%,0.01%,0.01%,0.02%,0.18%
chr6,109765265,109787171,64780,14,26,30,733,2,4,4,121,21906,0.01%,0.01%,0.01%,0.33%,0.00%,0.01%,0.01%,0.29%
chr13,51285144,51418075,220107,21,43,82,1012,12,23,41,525,132931,0.01%,0.01%,0.02%,0.30%,0.01%,0.02%,0.03%,0.34%
chr8,38120648,38126761,84513,13,17,21,356,2,2,4,41,6113,0.01%,0.01%,0.01%,0.17%,0.01%,0.01%,0.02%,0.16%
chr5,36248536,36302216,202151,16,30,50,856,5,9,12,245,53680,0.01%,0.01%,0.02%,0.34%,0.01%,0.01%,0.02%,0.33%
chr10,105206543,105212660,51063,13,28,41,523,3,4,7,61,6117,0.01%,0.01%,0.02%,0.25%,0.01%,0.02%,0.03%,0.23%
chr6,133561736,133853258,2070,31,75,128,1698,14,47,82,1053,291522,0.01%,0.02%,0.03%,0.35%,0.00%,0.02%,0.03%,0.34%
chr8,79578282,79632000,51101,16,28,40,753,3,7,7,210,53718,0.01%,0.01%,0.02%,0.30%,0.00%,0.01%,0.01%,0.28%
chr1,10490159,10512210,378708,14,31,37,708,5,9,11,158,22051,0.01%,0.01%,0.02%,0.32%,0.01%,0.02%,0.03%,0.38%
chr5,139226364,139422884,9542,25,55,89,853,18,37,51,504,196520,0.01%,0.01%,0.02%,0.22%,0.01%,0.02%,0.02%,0.23%
chr3,120315156,120321347,4710,13,39,69,860,3,6,9,121,6191,0.01%,0.02%,0.03%,0.42%,0.01%,0.02%,0.03%,0.46%
chr12,14518610,14651697,55729,21,38,55,1184,8,17,21,492,133087,0.01%,0.01%,0.02%,0.36%,0.01%,0.01%,0.01%,0.32%
chr2,220036619,220042828,27013,13,23,30,545,1,3,3,92,6209,0.01%,0.01%,0.01%,0.26%,0.00%,0.01%,0.01%,0.35%
chr10,27793197,27831143,22931,15,50,77,992,2,7,12,183,37946,0.01%,0.02%,0.03%,0.42%,0.00%,0.01%,0.02%,0.32%
chr4,108852525,108874613,113612,14,40,56,684,3,4,6,165,22088,0.01%,0.02%,0.03%,0.31%,0.01%,0.01%,0.01%,0.39%
chr2,219940039,220025587,79840,18,31,40,718,4,9,10,250,85548,0.01%,0.01%,0.01%,0.25%,0.00%,0.01%,0.01%,0.24%
chr9,79792269,80036457,23230,28,85,142,1994,13,34,55,1007,244188,0.01%,0.02%,0.03%,0.45%,0.00%,0.01%,0.02%,0.38%
chr8,109619079,109799844,157753,24,59,79,1264,13,30,38,721,180765,0.01%,0.02%,0.02%,0.33%,0.01%,0.01%,0.02%,0.36%
chr4,76649777,76735382,8615,18,48,75,861,4,13,23,286,85605,0.01%,0.02%,0.03%,0.30%,0.00%,0.01%,0.02%,0.27%
chr5,57749809,57756087,10769,13,48,71,843,3,6,11,133,6278,0.01%,0.02%,0.03%,0.41%,0.01%,0.02%,0.04%,0.51%
chr7,44183872,44237769,2645,16,51,78,833,6,19,32,264,53897,0.01%,0.02%,0.03%,0.33%,0.01%,0.03%,0.04%,0.36%
chr9,77561497,77567802,55071,13,38,53,623,2,1,3,67,6305,0.01%,0.02%,0.03%,0.30%,0.01%,0.00%,0.01%,0.25%
chr1,37958176,37980375,64769,14,47,72,790,2,10,13,157,22199,0.01%,0.02%,0.03%,0.36%,0.00%,0.02%,0.03%,0.37%
chr13,60239717,60738121,81624,44,88,132,2342,35,68,92,1572,498404,0.01%,0.01%,0.02%,0.34%,0.01%,0.01%,0.02%,0.30%
chr7,99520892,99527243,349149,13,29,40,551,1,4,4,73,6351,0.01%,0.01%,0.02%,0.27%,0.00%,0.02%,0.02%,0.28%
chr3,140660672,140698775,55186,15,24,35,694,7,8,10,159,38103,0.01%,0.01%,0.01%,0.29%,0.01%,0.01%,0.02%,0.27%
chr16,21169698,21191937,57146,14,38,71,731,3,8,11,122,22239,0.01%,0.02%,0.03%,0.33%,0.01%,0.02%,0.03%,0.29%
chr3,38589548,38691164,6331,19,58,102,984,5,33,63,429,101616,0.01%,0.02%,0.03%,0.33%,0.00%,0.03%,0.05%,0.35%
chr20,3869486,3907605,80025,15,42,57,802,5,12,16,195,38119,0.01%,0.02%,0.02%,0.34%,0.01%,0.02%,0.03%,0.34%
chr17,18601311,18639431,147166,15,39,60,716,2,11,18,180,38120,0.01%,0.02%,0.03%,0.30%,0.00%,0.02%,0.03%,0.31%
chr3,49460379,49466759,84276,13,29,36,413,1,4,5,56,6380,0.01%,0.01%,0.02%,0.20%,0.00%,0.02%,0.02%,0.21%
chr16,66400533,66438686,1003,15,45,67,777,4,16,27,216,38153,0.01%,0.02%,0.03%,0.33%,0.01%,0.03%,0.05%,0.37%
chr19,10764937,10803093,3609,15,31,44,841,5,6,7,134,38156,0.01%,0.01%,0.02%,0.35%,0.01%,0.01%,0.01%,0.23%
chr17,76783463,76837523,57602,16,36,56,882,3,10,14,189,54060,0.01%,0.01%,0.02%,0.35%,0.00%,0.01%,0.02%,0.26%
chr2,101618177,101640494,6160,14,47,85,825,2,4,11,130,22317,0.01%,0.02%,0.04%,0.37%,0.00%,0.01%,0.03%,0.31%
chr15,29087381,29093821,728310,13,29,37,613,1,4,8,107,6440,0.01%,0.01%,0.02%,0.30%,0.00%,0.02%,0.03%,0.40%
chr15,45315302,45369383,6652,16,33,45,858,6,12,18,282,54081,0.01%,0.01%,0.02%,0.34%,0.01%,0.02%,0.02%,0.38%
chr5,138204612,138211057,26045,13,18,20,422,2,2,3,46,6445,0.01%,0.01%,0.01%,0.20%,0.01%,0.01%,0.01%,0.17%
chr9,22002902,22009362,1030,13,28,39,546,3,4,5,62,6460,0.01%,0.01%,0.02%,0.26%,0.01%,0.02%,0.02%,0.23%
chr7,86974997,87029111,54677,16,23,38,748,4,5,8,227,54114,0.01%,0.01%,0.01%,0.29%,0.01%,0.01%,0.01%,0.31%
chr12,56703626,56710120,10330,13,26,34,352,2,3,3,48,6494,0.01%,0.01%,0.02%,0.17%,0.01%,0.01%,0.01%,0.18%
chr4,122680088,122686582,132332,13,37,57,771,3,10,12,121,6494,0.01%,0.02%,0.03%,0.37%,0.01%,0.04%,0.05%,0.46%
chr3,139236276,139258671,5947,14,33,50,665,4,8,14,146,22395,0.01%,0.01%,0.02%,0.30%,0.01%,0.02%,0.03%,0.34%
chr19,58978423,58984945,25799,13,28,42,660,1,4,7,62,6522,0.01%,0.01%,0.02%,0.32%,0.00%,0.02%,0.03%,0.23%
chr12,53604354,53626764,5916,14,26,37,575,4,12,15,96,22410,0.01%,0.01%,0.02%,0.26%,0.01%,0.03%,0.04%,0.23%
chr4,81187753,81257834,2250,17,35,48,1060,7,12,14,354,70081,0.01%,0.01%,0.02%,0.39%,0.01%,0.01%,0.02%,0.39%
chr5,65018023,65167553,57486,22,63,89,1126,11,30,47,642,149530,0.01%,0.02%,0.03%,0.32%,0.01%,0.02%,0.03%,0.38%
chr3,185361527,185542844,10644,24,60,94,996,8,23,41,405,181317,0.01%,0.02%,0.02%,0.26%,0.00%,0.01%,0.02%,0.20%
chr6,131895106,131949369,9439,16,32,50,891,2,6,8,130,54263,0.01%,0.01%,0.02%,0.35%,0.00%,0.01%,0.01%,0.18%
chr7,19758933,19813221,256130,16,32,61,1452,4,6,13,359,54288,0.01%,0.01%,0.02%,0.57%,0.01%,0.01%,0.02%,0.48%
chr7,116593292,116870157,7982,30,74,87,1066,16,37,41,600,276865,0.01%,0.02%,0.02%,0.22%,0.01%,0.01%,0.01%,0.20%
chr5,111478138,111755013,64097,30,87,146,1930,16,48,93,1230,276875,0.01%,0.02%,0.03%,0.40%,0.01%,0.02%,0.03%,0.41%
chr1,180882290,180920750,57710,15,38,59,641,7,18,26,191,38460,0.01%,0.02%,0.02%,0.27%,0.01%,0.03%,0.04%,0.33%
chr5,153418466,153600038,4238,24,78,126,1411,12,44,64,670,181572,0.01%,0.02%,0.03%,0.37%,0.01%,0.02%,0.03%,0.33%
chr7,120628731,120937498,79974,32,53,80,1650,18,34,55,957,308767,0.01%,0.01%,0.02%,0.32%,0.01%,0.01%,0.02%,0.29%
chr8,120743015,120845103,6873,19,52,87,1156,6,20,30,364,102088,0.01%,0.02%,0.03%,0.38%,0.00%,0.02%,0.02%,0.30%
chr18,77866915,77905406,22850,15,51,82,920,4,13,21,222,38491,0.01%,0.02%,0.03%,0.39%,0.01%,0.02%,0.04%,0.38%
chr2,54683422,54896812,6711,26,78,129,1640,15,33,59,905,213390,0.01%,0.02%,0.03%,0.40%,0.01%,0.01%,0.03%,0.39%
chr3,124944405,125094198,7707,22,69,113,1117,8,24,31,390,149793,0.01%,0.02%,0.03%,0.32%,0.00%,0.01%,0.02%,0.23%
chr4,1205236,1243741,1487,15,45,61,1083,3,12,15,231,38505,0.01%,0.02%,0.03%,0.45%,0.01%,0.02%,0.03%,0.39%
chr1,205626979,205649587,85414,14,42,67,814,4,12,18,169,22608,0.01%,0.02%,0.03%,0.37%,0.01%,0.03%,0.04%,0.40%
chr18,21718942,21741567,26256,14,34,48,763,2,5,5,136,22625,0.01%,0.02%,0.02%,0.34%,0.00%,0.01%,0.01%,0.32%
chr11,93463114,93517557,79101,16,31,42,869,4,9,10,227,54443,0.01%,0.01%,0.02%,0.34%,0.01%,0.01%,0.01%,0.30%
chr4,148653214,148993931,79658,34,66,95,1367,26,49,65,984,340717,0.01%,0.01%,0.02%,0.25%,0.01%,0.01%,0.02%,0.27%
chr3,27757440,27764206,8320,13,39,61,835,0,2,3,64,6766,0.01%,0.02%,0.03%,0.40%,0.00%,0.01%,0.01%,0.24%
chr19,40221890,40228668,1178,13,50,77,851,4,9,13,153,6778,0.01%,0.02%,0.04%,0.41%,0.01%,0.03%,0.05%,0.57%
chr11,36597124,36619829,5897,14,27,39,715,1,2,5,121,22705,0.01%,0.01%,0.02%,0.32%,0.00%,0.00%,0.01%,0.28%
chr11,64662007,64684722,23130,14,29,48,588,2,4,7,100,22715,0.01%,0.01%,0.02%,0.26%,0.00%,0.01%,0.02%,0.23%
chr20,31446729,31549006,388795,19,48,62,1188,6,18,23,467,102277,0.01%,0.02%,0.02%,0.39%,0.00%,0.01%,0.02%,0.38%
chr5,71403061,71505395,4131,19,52,87,935,10,30,46,342,102334,0.01%,0.02%,0.03%,0.31%,0.01%,0.02%,0.04%,0.28%
chr11,77811982,77850706,79053,15,55,78,991,5,18,23,335,38724,0.01%,0.02%,0.03%,0.42%,0.01%,0.03%,0.04%,0.57%
chr6,74104471,74127292,55510,14,36,60,724,1,5,12,101,22821,0.01%,0.02%,0.03%,0.32%,0.00%,0.01%,0.03%,0.24%
chr20,57600522,57607437,514,13,34,50,576,1,4,4,60,6915,0.01%,0.02%,0.02%,0.28%,0.00%,0.01%,0.01%,0.22%
chr15,52839242,52862080,10776,14,29,46,696,4,7,11,141,22838,0.01%,0.01%,0.02%,0.31%,0.01%,0.02%,0.03%,0.33%
chr3,151011891,151034740,53836,14,36,51,689,1,5,6,123,22849,0.01%,0.02%,0.02%,0.31%,0.00%,0.01%,0.01%,0.29%
chr5,159820155,159827104,63920,13,37,62,680,1,3,6,79,6949,0.01%,0.02%,0.03%,0.33%,0.00%,0.01%,0.02%,0.29%
chr17,73584139,73622929,80022,15,41,62,976,4,13,20,307,38790,0.01%,0.02%,0.03%,0.41%,0.01%,0.02%,0.03%,0.52%
chr10,1064847,1071799,91734,13,34,58,855,0,2,7,135,6952,0.01%,0.02%,0.03%,0.41%,0.00%,0.01%,0.03%,0.50%
chr10,105889646,105992120,80217,19,38,57,808,7,17,29,342,102474,0.01%,0.01%,0.02%,0.27%,0.01%,0.01%,0.02%,0.28%
chr3,121382046,121468602,2804,18,66,102,954,3,19,27,256,86556,0.01%,0.02%,0.04%,0.33%,0.00%,0.02%,0.03%,0.24%
chr1,111659955,111682838,128338,14,40,59,771,2,4,5,120,22883,0.01%,0.02%,0.03%,0.35%,0.00%,0.01%,0.01%,0.28%
chr12,43747669,43945724,80070,25,72,107,1607,11,36,51,851,198055,0.01%,0.02%,0.03%,0.40%,0.01%,0.02%,0.02%,0.39%
chr4,88257762,88312538,51170,16,40,79,904,6,17,26,259,54776,0.01%,0.02%,0.03%,0.35%,0.01%,0.02%,0.03%,0.35%
chr3,119373360,119396301,10063,14,44,66,842,1,5,8,176,22941,0.01%,0.02%,0.03%,0.38%,0.00%,0.01%,0.02%,0.41%
chr1,28586038,28609002,83667,14,35,42,686,0,5,8,132,22964,0.01%,0.02%,0.02%,0.31%,0.00%,0.01%,0.02%,0.31%
chr2,223162866,223169936,151278,13,40,67,595,1,8,13,66,7070,0.01%,0.02%,0.03%,0.29%,0.00%,0.03%,0.05%,0.24%
chr12,27932953,27955973,57542,14,55,92,776,5,12,27,175,23020,0.01%,0.02%,0.04%,0.35%,0.01%,0.03%,0.06%,0.41%
chr3,12875984,12883087,6161,13,34,48,799,1,5,6,93,7103,0.01%,0.02%,0.02%,0.39%,0.00%,0.02%,0.02%,0.34%
chr6,127609855,127664754,55862,16,35,42,688,3,9,12,172,54899,0.01%,0.01%,0.02%,0.27%,0.00%,0.01%,0.02%,0.23%
chr4,54875956,54930857,26511,16,35,47,585,3,7,8,138,54901,0.01%,0.01%,0.02%,0.23%,0.00%,0.01%,0.01%,0.18%
chr2,88856259,88927094,9451,17,40,61,782,5,10,12,172,70835,0.01%,0.01%,0.02%,0.29%,0.01%,0.01%,0.01%,0.19%
chr10,75134859,75173834,310,15,20,23,847,3,4,4,177,38975,0.01%,0.01%,0.01%,0.35%,0.01%,0.01%,0.01%,0.30%
chr8,145635126,145642279,55630,13,35,47,519,3,3,6,68,7153,0.01%,0.02%,0.02%,0.25%,0.01%,0.01%,0.02%,0.25%
chr7,18126572,19042039,9734,70,203,321,3721,62,173,271,3051,915467,0.01%,0.02%,0.03%,0.33%,0.01%,0.02%,0.03%,0.33%
chr5,149237519,149324356,5145,18,52,81,937,7,22,35,385,86837,0.01%,0.02%,0.03%,0.33%,0.01%,0.02%,0.03%,0.36%
chr12,65444406,65515346,11197,17,38,47,606,6,11,15,227,70940,0.01%,0.01%,0.02%,0.22%,0.01%,0.01%,0.02%,0.25%
chr18,33552046,33559241,83608,13,21,29,586,1,1,2,61,7195,0.01%,0.01%,0.01%,0.28%,0.00%,0.00%,0.01%,0.22%
chr11,134094539,134117686,112936,14,42,64,689,4,4,8,111,23147,0.01%,0.02%,0.03%,0.31%,0.01%,0.01%,0.02%,0.26%
chr11,93474757,93497915,28970,14,26,35,733,3,5,6,129,23158,0.01%,0.01%,0.02%,0.33%,0.01%,0.01%,0.01%,0.30%
chr12,102271129,102405908,55332,21,50,84,1264,15,38,58,740,134779,0.01%,0.01%,0.03%,0.38%,0.01%,0.02%,0.04%,0.48%
chr14,50779044,50802276,27109,14,34,57,667,3,6,9,144,23232,0.01%,0.02%,0.03%,0.30%,0.01%,0.01%,0.02%,0.33%
chr2,143848931,144525921,55843,55,146,245,2528,46,119,206,1941,676990,0.01%,0.02%,0.03%,0.29%,0.01%,0.02%,0.03%,0.28%
chr15,59664892,59815748,145773,22,63,109,1395,8,28,46,644,150856,0.01%,0.02%,0.03%,0.40%,0.00%,0.02%,0.03%,0.38%
chr14,65002623,65009955,3306,13,30,43,577,2,3,6,99,7332,0.01%,0.01%,0.02%,0.28%,0.01%,0.01%,0.02%,0.36%
chr8,106330920,106816760,23414,43,118,174,1999,31,92,137,1376,485840,0.01%,0.02%,0.03%,0.29%,0.01%,0.02%,0.03%,0.27%
chr12,19282648,19529334,54477,28,46,81,1675,16,24,40,816,246686,0.01%,0.01%,0.02%,0.37%,0.01%,0.01%,0.01%,0.31%
chr10,38091751,38147034,57209,16,41,87,1186,3,11,22,330,55283,0.01%,0.02%,0.03%,0.46%,0.00%,0.01%,0.03%,0.44%
chr10,94821021,94828454,340665,13,37,50,681,2,3,6,65,7433,0.01%,0.02%,0.02%,0.33%,0.01%,0.01%,0.02%,0.24%
chr16,3486104,3493542,146434,13,33,56,861,2,5,8,109,7438,0.01%,0.02%,0.03%,0.42%,0.01%,0.02%,0.03%,0.40%
chr7,30634297,30673649,2617,15,37,47,814,3,5,6,171,39352,0.01%,0.02%,0.02%,0.34%,0.01%,0.01%,0.01%,0.29%
chr10,94447945,94455403,3087,13,31,44,772,0,1,2,65,7458,0.01%,0.01%,0.02%,0.37%,0.00%,0.00%,0.01%,0.24%
chr5,41142336,41261540,729,20,48,98,1124,8,25,48,518,119204,0.01%,0.02%,0.03%,0.35%,0.01%,0.02%,0.03%,0.37%
chr1,66258197,66840259,5142,49,116,164,2538,29,73,104,1909,582062,0.01%,0.01%,0.02%,0.32%,0.00%,0.01%,0.02%,0.32%
chr7,40174575,40900362,79783,58,121,186,2259,36,81,120,1657,725787,0.01%,0.01%,0.02%,0.24%,0.00%,0.01%,0.02%,0.22%
chr14,93799565,94174222,57578,36,96,149,1690,21,48,64,1064,374657,0.01%,0.02%,0.03%,0.29%,0.01%,0.01%,0.02%,0.27%
chr17,34083268,34122711,79148,15,27,39,712,4,4,6,176,39443,0.01%,0.01%,0.02%,0.30%,0.01%,0.01%,0.01%,0.30%
chr10,104238986,104262482,10121,14,36,51,595,2,5,7,147,23496,0.01%,0.02%,0.02%,0.27%,0.00%,0.01%,0.02%,0.34%
chr5,61601989,61833076,3796,27,52,72,1109,19,35,44,664,231087,0.01%,0.01%,0.02%,0.26%,0.01%,0.01%,0.02%,0.26%
chr11,111222977,111326355,5450,19,53,75,1068,7,27,38,527,103378,0.01%,0.02%,0.02%,0.35%,0.01%,0.02%,0.03%,0.43%
