ENTREZ,CHR,START,STOP,Gene_Size,r01_100kb_count,r03_100kb_count,r05_100kb_count,unpruned_100kb_count,r01_10kb_count,r03_10kb_count,r05_10kb_count,unpruned_10kb_count,r01_100kb_ratio,r03_100kb_ratio,r05_100kb_ratio,unpruned_100kb_ratio,r01_10kb_ratio,r03_10kb_ratio,r05_10kb_ratio,unpruned_10kb_ratio
28983,chr4,69313167,69363322,50155,17,48,74,857,2,16,24,364,0.03%,0.10%,0.15%,1.71%,0.00%,0.03%,0.05%,0.73%
390,chr2,151324709,151395525,70816,24,52,71,853,10,19,28,280,0.03%,0.07%,0.10%,1.20%,0.01%,0.03%,0.04%,0.40%
9727,chr16,475619,573011,97392,33,87,125,1364,12,21,24,408,0.03%,0.09%,0.13%,1.40%,0.01%,0.02%,0.02%,0.42%
5371,chr15,74287014,74340153,53139,18,49,67,700,3,10,14,228,0.03%,0.09%,0.13%,1.32%,0.01%,0.02%,0.03%,0.43%
326624,chr17,72666717,72743474,76757,26,51,65,898,9,16,20,255,0.03%,0.07%,0.08%,1.17%,0.01%,0.02%,0.03%,0.33%
55054,chr2,234118697,234204320,85623,29,66,97,1049,16,36,48,401,0.03%,0.08%,0.11%,1.23%,0.02%,0.04%,0.06%,0.47%
54982,chr15,68499330,68549549,50219,17,46,60,731,3,6,9,201,0.03%,0.09%,0.12%,1.46%,0.01%,0.01%,0.02%,0.40%
129831,chr2,178977151,179003738,26587,9,43,62,814,2,8,11,124,0.03%,0.16%,0.23%,3.06%,0.01%,0.03%,0.04%,0.47%
222611,chr6,47624172,47665533,41361,14,46,67,964,3,10,14,306,0.03%,0.11%,0.16%,2.33%,0.01%,0.02%,0.03%,0.74%
10492,chr6,86318053,86353510,35457,12,25,29,479,3,6,6,115,0.03%,0.07%,0.08%,1.35%,0.01%,0.02%,0.02%,0.32%
51138,chr4,83955600,83996971,41371,14,26,41,641,6,10,11,141,0.03%,0.06%,0.10%,1.55%,0.01%,0.02%,0.03%,0.34%
6433,chr12,132195626,132284282,88656,30,79,131,1236,3,14,28,316,0.03%,0.09%,0.15%,1.39%,0.00%,0.02%,0.03%,0.36%
27042,chr1,210001352,210030910,29558,10,29,50,844,3,6,13,196,0.03%,0.10%,0.17%,2.86%,0.01%,0.02%,0.04%,0.66%
2065,chr12,56473641,56497289,23648,8,16,26,382,1,4,5,90,0.03%,0.07%,0.11%,1.62%,0.00%,0.02%,0.02%,0.38%
79876,chr3,132373290,132396941,23651,8,15,33,469,1,1,2,54,0.03%,0.06%,0.14%,1.98%,0.00%,0.00%,0.01%,0.23%
93145,chr19,9964394,10047228,82834,28,74,123,1216,8,25,33,413,0.03%,0.09%,0.15%,1.47%,0.01%,0.03%,0.04%,0.50%
10575,chr2,62095224,62115939,20715,7,28,51,687,3,6,14,142,0.03%,0.14%,0.25%,3.32%,0.01%,0.03%,0.07%,0.69%
84066,chr1,178482212,178517734,35522,12,30,39,693,1,3,5,189,0.03%,0.08%,0.11%,1.95%,0.00%,0.01%,0.01%,0.53%
9100,chr16,84733584,84813528,79944,27,110,177,1495,9,38,58,514,0.03%,0.14%,0.22%,1.87%,0.01%,0.05%,0.07%,0.64%
9567,chr22,39101728,39134304,32576,11,28,40,711,2,5,6,131,0.03%,0.09%,0.12%,2.18%,0.01%,0.02%,0.02%,0.40%
6670,chr2,174771187,174830430,59243,20,54,87,953,5,15,23,319,0.03%,0.09%,0.15%,1.61%,0.01%,0.03%,0.04%,0.54%
6443,chr4,52886872,52904648,17776,6,12,20,632,1,1,3,72,0.03%,0.07%,0.11%,3.56%,0.01%,0.01%,0.02%,0.41%
5727,chr9,98205262,98279339,74077,25,57,75,946,10,17,18,295,0.03%,0.08%,0.10%,1.28%,0.01%,0.02%,0.02%,0.40%
10066,chr15,75136071,75165706,29635,10,15,33,532,3,4,8,85,0.03%,0.05%,0.11%,1.80%,0.01%,0.01%,0.03%,0.29%
11180,chr3,49044495,49053386,8891,3,10,11,295,1,1,1,34,0.03%,0.11%,0.12%,3.32%,0.01%,0.01%,0.01%,0.38%
90871,chr9,7796490,7888380,91890,31,92,138,1335,12,37,50,510,0.03%,0.10%,0.15%,1.45%,0.01%,0.04%,0.05%,0.56%
4336,chr3,39508689,39570970,62281,21,43,52,1176,8,14,19,428,0.03%,0.07%,0.08%,1.89%,0.01%,0.02%,0.03%,0.69%
147166,chr17,15531274,15587625,56351,19,43,70,968,4,10,11,267,0.03%,0.08%,0.12%,1.72%,0.01%,0.02%,0.02%,0.47%
10626,chr17,15531274,15587625,56351,19,43,70,968,4,10,11,267,0.03%,0.08%,0.12%,1.72%,0.01%,0.02%,0.02%,0.47%
350,chr17,64208151,64252643,44492,15,47,95,1105,3,13,26,313,0.03%,0.11%,0.21%,2.48%,0.01%,0.03%,0.06%,0.70%
51363,chr10,125767184,125853206,86022,29,71,113,1019,8,24,33,355,0.03%,0.08%,0.13%,1.18%,0.01%,0.03%,0.04%,0.41%
375743,chr9,72324438,72374875,50437,17,41,68,632,3,9,15,160,0.03%,0.08%,0.13%,1.25%,0.01%,0.02%,0.03%,0.32%
440689,chr1,149754245,149783928,29683,10,22,32,393,2,5,8,98,0.03%,0.07%,0.11%,1.32%,0.01%,0.02%,0.03%,0.33%
84830,chr6,11712287,11807279,94992,32,76,122,1231,14,36,58,477,0.03%,0.08%,0.13%,1.30%,0.01%,0.04%,0.06%,0.50%
221937,chr7,4683388,4811074,127686,43,78,103,1474,26,43,56,601,0.03%,0.06%,0.08%,1.15%,0.02%,0.03%,0.04%,0.47%
128178,chr1,236511562,236648214,136652,46,115,162,1844,21,56,84,773,0.03%,0.08%,0.12%,1.35%,0.02%,0.04%,0.06%,0.57%
9993,chr22,19023795,19109967,86172,29,65,97,1564,8,19,32,584,0.03%,0.08%,0.11%,1.81%,0.01%,0.02%,0.04%,0.68%
57722,chr15,65673802,65715410,41608,14,32,47,756,7,14,21,190,0.03%,0.08%,0.11%,1.82%,0.02%,0.03%,0.05%,0.46%
7770,chr19,44711700,44741421,29721,10,23,29,650,3,4,6,157,0.03%,0.08%,0.10%,2.19%,0.01%,0.01%,0.02%,0.53%
54495,chr18,66340925,66382535,41610,14,28,36,850,1,2,1,217,0.03%,0.07%,0.09%,2.04%,0.00%,0.00%,0.00%,0.52%
9765,chr5,79703832,79775169,71337,24,53,82,981,4,10,13,265,0.03%,0.07%,0.11%,1.38%,0.01%,0.01%,0.02%,0.37%
6470,chr17,18231187,18266856,35669,12,29,43,701,3,11,15,226,0.03%,0.08%,0.12%,1.97%,0.01%,0.03%,0.04%,0.63%
4717,chr4,140188034,140223705,35671,12,32,49,727,2,5,8,160,0.03%,0.09%,0.14%,2.04%,0.01%,0.01%,0.02%,0.45%
54962,chr15,66628544,66679084,50540,17,45,71,900,3,11,19,227,0.03%,0.09%,0.14%,1.78%,0.01%,0.02%,0.04%,0.45%
259217,chr10,118430703,118502085,71382,24,52,85,961,9,20,28,373,0.03%,0.07%,0.12%,1.35%,0.01%,0.03%,0.04%,0.52%
53354,chr10,91342745,91405215,62470,21,55,86,1073,8,24,37,375,0.03%,0.09%,0.14%,1.72%,0.01%,0.04%,0.06%,0.60%
84437,chr11,105866350,105893130,26780,9,26,38,582,1,6,8,98,0.03%,0.10%,0.14%,2.17%,0.00%,0.02%,0.03%,0.37%
6729,chr14,35451163,35498773,47610,16,50,92,1027,5,16,28,314,0.03%,0.11%,0.19%,2.16%,0.01%,0.03%,0.06%,0.66%
64087,chr5,70883115,70954531,71416,24,52,71,944,6,8,14,266,0.03%,0.07%,0.10%,1.32%,0.01%,0.01%,0.02%,0.37%
5770,chr20,49126891,49201299,74408,25,55,87,1097,6,10,10,280,0.03%,0.07%,0.12%,1.47%,0.01%,0.01%,0.01%,0.38%
124454,chr16,23533335,23569052,35717,12,18,28,756,4,6,9,208,0.03%,0.05%,0.08%,2.12%,0.01%,0.02%,0.03%,0.58%
8490,chr1,163214295,163291684,77389,26,70,114,1281,9,34,48,500,0.03%,0.09%,0.15%,1.66%,0.01%,0.04%,0.06%,0.65%
374977,chr1,55107463,55175939,68476,23,63,104,1225,7,21,31,402,0.03%,0.09%,0.15%,1.79%,0.01%,0.03%,0.05%,0.59%
6532,chr17,28521337,28563020,41683,14,31,45,552,1,7,14,138,0.03%,0.07%,0.11%,1.32%,0.00%,0.02%,0.03%,0.33%
9789,chr11,74660292,74690076,29784,10,25,35,527,2,2,5,120,0.03%,0.08%,0.12%,1.77%,0.01%,0.01%,0.02%,0.40%
221656,chr6,18155560,18224084,68524,23,60,88,1179,11,21,33,415,0.03%,0.09%,0.13%,1.72%,0.02%,0.03%,0.05%,0.61%
353088,chr19,21679484,21739072,59588,20,54,84,1232,7,11,21,335,0.03%,0.09%,0.14%,2.07%,0.01%,0.02%,0.04%,0.56%
4908,chr12,5541278,5630702,89424,30,74,114,1001,14,35,56,376,0.03%,0.08%,0.13%,1.12%,0.02%,0.04%,0.06%,0.42%
10020,chr9,36214438,36277053,62615,21,58,93,904,4,14,20,252,0.03%,0.09%,0.15%,1.44%,0.01%,0.02%,0.03%,0.40%
64220,chr15,74471807,74504608,32801,11,34,48,628,1,5,9,145,0.03%,0.10%,0.15%,1.91%,0.00%,0.02%,0.03%,0.44%
9392,chr2,105880871,105946491,65620,22,62,105,1007,5,14,24,311,0.03%,0.09%,0.16%,1.53%,0.01%,0.02%,0.04%,0.47%
84132,chr7,6144515,6201195,56680,19,40,64,963,4,12,16,279,0.03%,0.07%,0.11%,1.70%,0.01%,0.02%,0.03%,0.49%
203286,chr9,101493611,101559247,65636,22,52,72,1058,1,9,12,252,0.03%,0.08%,0.11%,1.61%,0.00%,0.01%,0.02%,0.38%
129852,chr2,54557171,54610879,53708,18,50,81,911,5,21,36,270,0.03%,0.09%,0.15%,1.70%,0.01%,0.04%,0.07%,0.50%
4594,chr6,49398073,49430904,32831,11,34,52,770,3,5,7,122,0.03%,0.10%,0.16%,2.35%,0.01%,0.02%,0.02%,0.37%
10914,chr14,96967770,97033448,65678,22,58,79,867,5,6,8,193,0.03%,0.09%,0.12%,1.32%,0.01%,0.01%,0.01%,0.29%
25829,chr22,38615298,38669040,53742,18,44,63,862,5,10,16,237,0.03%,0.08%,0.12%,1.60%,0.01%,0.02%,0.03%,0.44%
4010,chr9,129376722,129463311,86589,29,94,133,1145,8,31,44,430,0.03%,0.11%,0.15%,1.32%,0.01%,0.04%,0.05%,0.50%
55686,chr2,216809213,216898819,89606,30,71,106,1104,20,41,59,502,0.03%,0.08%,0.12%,1.23%,0.02%,0.05%,0.07%,0.56%
1656,chr11,118620034,118661858,41824,14,57,77,878,3,10,14,159,0.03%,0.14%,0.18%,2.10%,0.01%,0.02%,0.03%,0.38%
199692,chr19,11670189,11729950,59761,20,47,75,998,10,19,31,338,0.03%,0.08%,0.13%,1.67%,0.02%,0.03%,0.05%,0.57%
996,chr17,45195069,45266788,71719,24,54,87,922,11,21,28,249,0.03%,0.08%,0.12%,1.29%,0.02%,0.03%,0.04%,0.35%
137964,chr8,41434706,41482520,47814,16,51,87,1058,5,11,18,261,0.03%,0.11%,0.18%,2.21%,0.01%,0.02%,0.04%,0.55%
57180,chr7,152456834,152552463,95629,32,91,133,1439,8,23,30,410,0.03%,0.10%,0.14%,1.50%,0.01%,0.02%,0.03%,0.43%
25842,chr6,119215384,119230332,14948,5,17,34,792,1,4,8,110,0.03%,0.11%,0.23%,5.30%,0.01%,0.03%,0.05%,0.74%
339977,chr4,52859868,52883786,23918,8,13,20,584,1,3,3,101,0.03%,0.05%,0.08%,2.44%,0.00%,0.01%,0.01%,0.42%
51201,chr8,17013538,17082308,68770,23,54,95,1076,6,14,27,328,0.03%,0.08%,0.14%,1.56%,0.01%,0.02%,0.04%,0.48%
10240,chr13,41303432,41345309,41877,14,23,31,883,0,3,6,170,0.03%,0.05%,0.07%,2.11%,0.00%,0.01%,0.01%,0.41%
56260,chr8,67579850,67597799,17949,6,12,18,501,0,0,0,69,0.03%,0.07%,0.10%,2.79%,0.00%,0.00%,0.00%,0.38%
54165,chr3,182655862,182703741,47879,16,28,34,573,3,7,7,125,0.03%,0.06%,0.07%,1.20%,0.01%,0.01%,0.01%,0.26%
84255,chr7,139993493,140104233,110740,37,107,158,1345,14,43,67,584,0.03%,0.10%,0.14%,1.21%,0.01%,0.04%,0.06%,0.53%
4352,chr1,43803478,43818443,14965,5,17,26,462,1,3,4,58,0.03%,0.11%,0.17%,3.09%,0.01%,0.02%,0.03%,0.39%
374655,chr15,90544624,90625438,80814,27,51,76,942,9,19,21,314,0.03%,0.06%,0.09%,1.17%,0.01%,0.02%,0.03%,0.39%
84640,chr4,144106070,144144983,38913,13,27,32,723,2,4,5,142,0.03%,0.07%,0.08%,1.86%,0.01%,0.01%,0.01%,0.36%
254272,chr17,18538319,18565263,26944,9,28,41,558,3,12,13,152,0.03%,0.10%,0.15%,2.07%,0.01%,0.04%,0.05%,0.56%
56262,chr9,131644391,131680318,35927,12,23,32,564,6,8,10,140,0.03%,0.06%,0.09%,1.57%,0.02%,0.02%,0.03%,0.39%
23031,chr19,18208603,18262502,53899,18,55,94,1008,4,11,21,300,0.03%,0.10%,0.17%,1.87%,0.01%,0.02%,0.04%,0.56%
131450,chr3,112640056,112693969,53913,18,34,42,1135,7,13,14,403,0.03%,0.06%,0.08%,2.11%,0.01%,0.02%,0.03%,0.75%
988,chr6,44355262,44418163,62901,21,53,90,956,2,8,11,244,0.03%,0.08%,0.14%,1.52%,0.00%,0.01%,0.02%,0.39%
58500,chr8,146076632,146127553,50921,17,42,58,880,6,13,18,178,0.03%,0.08%,0.11%,1.73%,0.01%,0.03%,0.04%,0.35%
23366,chr7,36363830,36429734,65904,22,62,101,995,3,11,13,256,0.03%,0.09%,0.15%,1.51%,0.00%,0.02%,0.02%,0.39%
26278,chr13,23902965,24007841,104876,35,107,173,1661,10,34,52,527,0.03%,0.10%,0.16%,1.58%,0.01%,0.03%,0.05%,0.50%
1583,chr15,74630100,74660081,29981,10,31,47,829,2,4,7,168,0.03%,0.10%,0.16%,2.77%,0.01%,0.01%,0.02%,0.56%
10380,chr1,220230824,220263804,32980,11,33,43,747,3,6,8,155,0.03%,0.10%,0.13%,2.27%,0.01%,0.02%,0.02%,0.47%
4258,chr4,140586922,140661899,74977,25,91,137,1075,4,25,41,375,0.03%,0.12%,0.18%,1.43%,0.01%,0.03%,0.05%,0.50%
163049,chr19,12721732,12742735,21003,7,29,39,617,2,5,5,136,0.03%,0.14%,0.19%,2.94%,0.01%,0.02%,0.02%,0.65%
2959,chr1,89318615,89357627,39012,13,28,32,875,2,7,9,218,0.03%,0.07%,0.08%,2.24%,0.01%,0.02%,0.02%,0.56%
3913,chr3,49158547,49170551,12004,4,10,13,325,1,2,3,47,0.03%,0.08%,0.11%,2.71%,0.01%,0.02%,0.02%,0.39%
23171,chr3,32147181,32210205,63024,21,62,102,1100,6,13,25,404,0.03%,0.10%,0.16%,1.75%,0.01%,0.02%,0.04%,0.64%
100507607,chr16,28763108,28784128,21020,7,11,17,231,2,2,2,17,0.03%,0.05%,0.08%,1.10%,0.01%,0.01%,0.01%,0.08%
728734,chr16,28763108,28784128,21020,7,11,17,231,2,2,2,17,0.03%,0.05%,0.08%,1.10%,0.01%,0.01%,0.01%,0.08%
57644,chr20,33563206,33590240,27034,9,26,36,610,1,5,7,146,0.03%,0.10%,0.13%,2.26%,0.00%,0.02%,0.03%,0.54%
154043,chr6,154708638,154831793,123155,41,100,139,1519,23,55,79,776,0.03%,0.08%,0.11%,1.23%,0.02%,0.04%,0.06%,0.63%
116028,chr16,11343476,11445619,102143,34,95,193,1674,13,26,62,615,0.03%,0.09%,0.19%,1.64%,0.01%,0.03%,0.06%,0.60%
55954,chr22,30126945,30163000,36055,12,36,55,718,7,10,13,217,0.03%,0.10%,0.15%,1.99%,0.02%,0.03%,0.04%,0.60%
22847,chr19,32836500,32878573,42073,14,39,61,686,4,13,17,179,0.03%,0.09%,0.14%,1.63%,0.01%,0.03%,0.04%,0.43%
11104,chr6,149916009,149970108,54099,18,35,43,526,7,14,18,178,0.03%,0.06%,0.08%,0.97%,0.01%,0.03%,0.03%,0.33%
2771,chr3,50263724,50296787,33063,11,24,34,459,0,3,5,96,0.03%,0.07%,0.10%,1.39%,0.00%,0.01%,0.02%,0.29%
3221,chr12,54410715,54449813,39098,13,42,62,656,1,5,8,135,0.03%,0.11%,0.16%,1.68%,0.00%,0.01%,0.02%,0.35%
57648,chr1,33207486,33240571,33085,11,20,32,572,1,5,10,107,0.03%,0.06%,0.10%,1.73%,0.00%,0.02%,0.03%,0.32%
146540,chr16,30585061,30597092,12031,4,19,32,336,0,0,0,34,0.03%,0.16%,0.27%,2.79%,0.00%,0.00%,0.00%,0.28%
2627,chr18,19749404,19782491,33087,11,27,40,677,3,10,11,111,0.03%,0.08%,0.12%,2.05%,0.01%,0.03%,0.03%,0.34%
25911,chr10,103330317,103369425,39108,13,27,38,487,4,12,12,128,0.03%,0.07%,0.10%,1.25%,0.01%,0.03%,0.03%,0.33%
11243,chr1,156182784,156212874,30090,10,32,52,667,3,4,8,143,0.03%,0.11%,0.17%,2.22%,0.01%,0.01%,0.03%,0.48%
83464,chr15,63568217,63601325,33108,11,29,46,727,1,8,12,154,0.03%,0.09%,0.14%,2.20%,0.00%,0.02%,0.04%,0.47%
79902,chr17,73201754,73231853,30099,10,20,38,631,1,3,6,103,0.03%,0.07%,0.13%,2.10%,0.00%,0.01%,0.02%,0.34%
9928,chr1,200520628,200589862,69234,23,63,94,1123,6,19,25,387,0.03%,0.09%,0.14%,1.62%,0.01%,0.03%,0.04%,0.56%
57822,chr1,24645812,24690972,45160,15,48,70,876,6,18,27,204,0.03%,0.11%,0.16%,1.94%,0.01%,0.04%,0.06%,0.45%
1408,chr11,45868669,45904798,36129,12,29,46,655,4,9,13,136,0.03%,0.08%,0.13%,1.81%,0.01%,0.02%,0.04%,0.38%
89780,chr1,228194752,228248961,54209,18,40,53,667,3,7,9,168,0.03%,0.07%,0.10%,1.23%,0.01%,0.01%,0.02%,0.31%
80071,chr11,124824017,124911385,87368,29,78,132,1168,9,26,40,389,0.03%,0.09%,0.15%,1.34%,0.01%,0.03%,0.05%,0.45%
54868,chr17,72772622,72835918,63296,21,38,55,729,9,15,17,244,0.03%,0.06%,0.09%,1.15%,0.01%,0.02%,0.03%,0.39%
841,chr2,202098166,202152434,54268,18,43,52,757,5,17,20,255,0.03%,0.08%,0.10%,1.39%,0.01%,0.03%,0.04%,0.47%
125228,chr18,13663346,13726662,63316,21,52,73,972,6,11,20,332,0.03%,0.08%,0.12%,1.54%,0.01%,0.02%,0.03%,0.52%
3746,chr11,17756359,17804602,48243,16,44,69,819,2,15,24,241,0.03%,0.09%,0.14%,1.70%,0.00%,0.03%,0.05%,0.50%
1258,chr16,57917503,58005020,87517,29,73,113,1134,15,44,62,468,0.03%,0.08%,0.13%,1.30%,0.02%,0.05%,0.07%,0.53%
128434,chr20,36531499,36573752,42253,14,38,56,677,6,13,22,207,0.03%,0.09%,0.13%,1.60%,0.01%,0.03%,0.05%,0.49%
84302,chr9,104235453,104295819,60366,20,62,92,941,5,22,28,312,0.03%,0.10%,0.15%,1.56%,0.01%,0.04%,0.05%,0.52%
11136,chr19,33321415,33360672,39257,13,44,86,962,5,14,26,286,0.03%,0.11%,0.22%,2.45%,0.01%,0.04%,0.07%,0.73%
4001,chr5,126112315,126172712,60397,20,54,84,1115,5,17,24,331,0.03%,0.09%,0.14%,1.85%,0.01%,0.03%,0.04%,0.55%
5684,chr14,58711549,58738730,27181,9,19,26,410,3,6,7,85,0.03%,0.07%,0.10%,1.51%,0.01%,0.02%,0.03%,0.31%
1445,chr15,75074398,75095539,21141,7,14,27,485,0,1,6,107,0.03%,0.07%,0.13%,2.29%,0.00%,0.00%,0.03%,0.51%
56605,chr1,236378855,236445319,66464,22,72,107,1255,9,23,31,451,0.03%,0.11%,0.16%,1.89%,0.01%,0.03%,0.05%,0.68%
146760,chr17,1837971,1928639,90668,30,92,149,1101,20,54,85,511,0.03%,0.10%,0.16%,1.21%,0.02%,0.06%,0.09%,0.56%
55034,chr18,33767482,33852120,84638,28,74,111,984,15,41,55,409,0.03%,0.09%,0.13%,1.16%,0.02%,0.05%,0.06%,0.48%
6850,chr9,93564069,93660831,96762,32,98,149,1536,20,55,91,645,0.03%,0.10%,0.15%,1.59%,0.02%,0.06%,0.09%,0.67%
283848,chr16,67022492,67043661,21169,7,10,14,450,2,2,2,80,0.03%,0.05%,0.07%,2.13%,0.01%,0.01%,0.01%,0.38%
2992,chr3,148709128,148745419,36291,12,47,66,870,1,10,12,147,0.03%,0.13%,0.18%,2.40%,0.00%,0.03%,0.03%,0.41%
6484,chr11,126225535,126310239,84704,28,90,148,1073,12,48,74,370,0.03%,0.11%,0.17%,1.27%,0.01%,0.06%,0.09%,0.44%
29970,chr3,159557650,159615149,57499,19,52,80,823,2,9,18,165,0.03%,0.09%,0.14%,1.43%,0.00%,0.02%,0.03%,0.29%
168391,chr7,151653464,151717019,63555,21,57,88,961,8,21,30,384,0.03%,0.09%,0.14%,1.51%,0.01%,0.03%,0.05%,0.60%
79695,chr9,101569981,101612363,42382,14,44,63,929,5,12,16,221,0.03%,0.10%,0.15%,2.19%,0.01%,0.03%,0.04%,0.52%
6910,chr12,114791736,114846247,54511,18,60,91,1100,3,17,28,321,0.03%,0.11%,0.17%,2.02%,0.01%,0.03%,0.05%,0.59%
23553,chr7,123469037,123517532,48495,16,40,60,667,2,7,11,154,0.03%,0.08%,0.12%,1.38%,0.00%,0.01%,0.02%,0.32%
25957,chr6,99845927,99873207,27280,9,41,65,754,1,9,11,136,0.03%,0.15%,0.24%,2.76%,0.00%,0.03%,0.04%,0.50%
90416,chr15,40820882,40857256,36374,12,33,36,628,3,6,7,186,0.03%,0.09%,0.10%,1.73%,0.01%,0.02%,0.02%,0.51%
54469,chr15,80351910,80430735,78825,26,69,100,913,8,20,27,261,0.03%,0.09%,0.13%,1.16%,0.01%,0.03%,0.03%,0.33%
84188,chr11,13690217,13753893,63676,21,49,90,1091,5,11,19,209,0.03%,0.08%,0.14%,1.71%,0.01%,0.02%,0.03%,0.33%
339665,chr22,31031639,31065003,33364,11,52,83,1042,4,15,21,314,0.03%,0.16%,0.25%,3.12%,0.01%,0.04%,0.06%,0.94%
283431,chr12,100967461,101022064,54603,18,49,76,714,7,15,19,198,0.03%,0.09%,0.14%,1.31%,0.01%,0.03%,0.03%,0.36%
1643,chr11,47236493,47260767,24274,8,23,31,550,4,7,11,119,0.03%,0.09%,0.13%,2.27%,0.02%,0.03%,0.05%,0.49%
23187,chr11,118477155,118528741,51586,17,45,62,799,5,8,13,148,0.03%,0.09%,0.12%,1.55%,0.01%,0.02%,0.03%,0.29%
1604,chr1,207494853,207534311,39458,13,25,42,641,2,5,9,142,0.03%,0.06%,0.11%,1.62%,0.01%,0.01%,0.02%,0.36%
1297,chr6,70924764,71012786,88022,29,71,102,1310,12,30,46,502,0.03%,0.08%,0.12%,1.49%,0.01%,0.03%,0.05%,0.57%
57158,chr20,42740335,42816218,75883,25,71,128,1112,8,31,59,418,0.03%,0.09%,0.17%,1.47%,0.01%,0.04%,0.08%,0.55%
5446,chr7,94989256,95025680,36424,12,40,65,808,1,4,6,201,0.03%,0.11%,0.18%,2.22%,0.00%,0.01%,0.02%,0.55%
63893,chr17,74385532,74449288,63756,21,50,87,1002,4,12,24,281,0.03%,0.08%,0.14%,1.57%,0.01%,0.02%,0.04%,0.44%
100130988,chr7,50135632,50199426,63794,21,53,76,852,10,20,23,331,0.03%,0.08%,0.12%,1.34%,0.02%,0.03%,0.04%,0.52%
51061,chr16,11772936,11836734,63798,21,56,85,1127,5,11,14,300,0.03%,0.09%,0.13%,1.77%,0.01%,0.02%,0.02%,0.47%
8404,chr4,88394487,88452213,57726,19,41,85,897,7,11,20,317,0.03%,0.07%,0.15%,1.55%,0.01%,0.02%,0.03%,0.55%
84249,chr5,139175406,139224051,48645,16,35,60,556,2,6,15,163,0.03%,0.07%,0.12%,1.14%,0.00%,0.01%,0.03%,0.34%
83937,chr10,45454855,45491339,36484,12,46,71,794,4,14,23,192,0.03%,0.13%,0.19%,2.18%,0.01%,0.04%,0.06%,0.53%
150572,chr2,88367299,88412906,45607,15,42,67,832,6,17,28,282,0.03%,0.09%,0.15%,1.82%,0.01%,0.04%,0.06%,0.62%
10128,chr2,44113647,44223144,109497,36,81,126,1468,10,26,37,483,0.03%,0.07%,0.12%,1.34%,0.01%,0.02%,0.03%,0.44%
84803,chr4,84457067,84527028,69961,23,54,82,1031,4,11,17,336,0.03%,0.08%,0.12%,1.47%,0.01%,0.02%,0.02%,0.48%
339967,chr4,68775103,68829858,54755,18,39,56,889,6,11,19,263,0.03%,0.07%,0.10%,1.62%,0.01%,0.02%,0.03%,0.48%
2175,chr16,89803957,89883065,79108,26,90,152,1692,10,35,57,740,0.03%,0.11%,0.19%,2.14%,0.01%,0.04%,0.07%,0.94%
339327,chr19,40490041,40523514,33473,11,23,35,920,0,0,2,185,0.03%,0.07%,0.10%,2.75%,0.00%,0.00%,0.01%,0.55%
220963,chr10,61410523,61495760,85237,28,55,97,1097,8,15,40,333,0.03%,0.06%,0.11%,1.29%,0.01%,0.02%,0.05%,0.39%
388403,chr17,57409050,57479090,70040,23,46,65,742,10,17,23,236,0.03%,0.07%,0.09%,1.06%,0.01%,0.02%,0.03%,0.34%
51696,chr6,139456249,139501939,45690,15,41,67,978,3,4,8,233,0.03%,0.09%,0.15%,2.14%,0.01%,0.01%,0.02%,0.51%
3712,chr15,40697686,40728146,30460,10,46,67,642,3,13,16,147,0.03%,0.15%,0.22%,2.11%,0.01%,0.04%,0.05%,0.48%
1284,chr13,110958159,111165374,207215,68,197,316,2290,41,116,189,1334,0.03%,0.10%,0.15%,1.11%,0.02%,0.06%,0.09%,0.64%
51124,chr18,44681413,44702745,21332,7,15,26,753,3,4,7,166,0.03%,0.07%,0.12%,3.53%,0.01%,0.02%,0.03%,0.78%
55746,chr1,229577045,229644103,67058,22,53,72,797,7,8,9,265,0.03%,0.08%,0.11%,1.19%,0.01%,0.01%,0.01%,0.40%
2821,chr19,34850385,34893061,42676,14,22,36,661,3,5,7,175,0.03%,0.05%,0.08%,1.55%,0.01%,0.01%,0.02%,0.41%
54996,chr1,220921567,220958150,36583,12,42,69,1126,2,9,11,441,0.03%,0.11%,0.19%,3.08%,0.01%,0.02%,0.03%,1.21%
9950,chr14,93260576,93306308,45732,15,60,90,957,4,18,19,271,0.03%,0.13%,0.20%,2.09%,0.01%,0.04%,0.04%,0.59%
89869,chr12,18836103,18890991,54888,18,55,87,1132,5,13,19,290,0.03%,0.10%,0.16%,2.06%,0.01%,0.02%,0.03%,0.53%
2773,chr1,110091233,110136975,45742,15,35,52,652,1,4,7,154,0.03%,0.08%,0.11%,1.43%,0.00%,0.01%,0.02%,0.34%
1759,chr9,130965658,131017527,51869,17,22,34,687,5,7,13,211,0.03%,0.04%,0.07%,1.32%,0.01%,0.01%,0.03%,0.41%
222546,chr6,117198375,117253326,54951,18,54,69,1010,7,15,19,306,0.03%,0.10%,0.13%,1.84%,0.01%,0.03%,0.03%,0.56%
23061,chr5,179289066,179334859,45793,15,38,61,846,2,8,13,193,0.03%,0.08%,0.13%,1.85%,0.00%,0.02%,0.03%,0.42%
55758,chr1,211431719,211489727,58008,19,45,64,924,2,6,12,272,0.03%,0.08%,0.11%,1.59%,0.00%,0.01%,0.02%,0.47%
51444,chr18,29671818,29711524,39706,13,37,55,731,4,8,9,150,0.03%,0.09%,0.14%,1.84%,0.01%,0.02%,0.02%,0.38%
