CHR,START,END,ENTREZ,r01_100kb_count,r03_100kb_count,r05_100kb_count,r01_10kb_count,r03_10kb_count,r05_10kb_count,GENE_SIZE,ratio_r01_100kb,ratio_r03_100kb,ratio_r05_100kb,ratio_r01_10kb,ratio_r03_10kb,ratio_r05_10kb
chr13,113344643,113541482,23250,55,134,203,20,62,98,196839,0.03%,0.07%,0.10%,0.01%,0.03%,0.05%
chr14,39644387,39652422,5411,17,42,68,0,4,4,8035,0.21%,0.52%,0.85%,0.00%,0.05%,0.05%
chr6,166778407,166796486,51660,30,51,88,4,4,9,18079,0.17%,0.28%,0.49%,0.02%,0.02%,0.05%
chr4,110631145,110651233,81579,19,32,47,7,7,10,20088,0.09%,0.16%,0.23%,0.03%,0.03%,0.05%
chr22,20704868,20745048,373856,27,56,73,6,13,20,40180,0.07%,0.14%,0.18%,0.01%,0.03%,0.05%
chr1,192605275,192629390,6003,17,33,55,4,6,12,24115,0.07%,0.14%,0.23%,0.02%,0.02%,0.05%
chr11,17756359,17804602,3746,16,44,69,2,15,24,48243,0.03%,0.09%,0.14%,0.00%,0.03%,0.05%
chr19,17186591,17325346,4650,36,110,174,19,47,69,138755,0.03%,0.08%,0.13%,0.01%,0.03%,0.05%
chr22,43807202,43903728,758,21,60,106,10,28,48,96526,0.02%,0.06%,0.11%,0.01%,0.03%,0.05%
chr14,38059189,38069245,3169,11,25,32,1,3,5,10056,0.11%,0.25%,0.32%,0.01%,0.03%,0.05%
chr6,74225473,74233520,1915,10,31,41,0,4,4,8047,0.12%,0.39%,0.51%,0.00%,0.05%,0.05%
chr5,6633456,6669675,6715,22,68,108,4,9,18,36219,0.06%,0.19%,0.30%,0.01%,0.02%,0.05%
chr2,170550998,170633499,151230,22,65,102,8,24,41,82501,0.03%,0.08%,0.12%,0.01%,0.03%,0.05%
chr6,157710418,157744633,729515,11,26,46,4,10,17,34215,0.03%,0.08%,0.13%,0.01%,0.03%,0.05%
chr3,62384022,62861054,8618,61,163,281,51,133,237,477032,0.01%,0.03%,0.06%,0.01%,0.03%,0.05%
chr17,4981543,4999669,124961,12,30,45,3,8,9,18126,0.07%,0.17%,0.25%,0.02%,0.04%,0.05%
chr8,9911778,10286401,4482,52,166,280,36,111,186,374623,0.01%,0.04%,0.07%,0.01%,0.03%,0.05%
chr14,92335756,92414331,10516,12,38,64,8,23,39,78575,0.02%,0.05%,0.08%,0.01%,0.03%,0.05%
chr17,17206649,17250977,56953,17,43,69,4,14,22,44328,0.04%,0.10%,0.16%,0.01%,0.03%,0.05%
chr9,111777432,111882225,23731,38,83,127,14,33,52,104793,0.04%,0.08%,0.12%,0.01%,0.03%,0.05%
chr12,101111304,101522419,121601,59,160,270,46,121,204,411115,0.01%,0.04%,0.07%,0.01%,0.03%,0.05%
chr11,86085778,86134151,60494,17,44,81,5,11,24,48373,0.04%,0.09%,0.17%,0.01%,0.02%,0.05%
chr1,156611182,156629324,63827,15,31,39,3,6,9,18142,0.08%,0.17%,0.21%,0.02%,0.03%,0.05%
chr6,107018903,107077373,84816,30,88,142,5,18,29,58470,0.05%,0.15%,0.24%,0.01%,0.03%,0.05%
chr19,31765851,31840453,57616,13,41,63,7,22,37,74602,0.02%,0.05%,0.08%,0.01%,0.03%,0.05%
chr1,94333373,94345474,30836,16,37,48,2,6,6,12101,0.13%,0.31%,0.40%,0.02%,0.05%,0.05%
chr13,23902965,24007841,26278,35,107,173,10,34,52,104876,0.03%,0.10%,0.16%,0.01%,0.03%,0.05%
chr16,55423612,55540603,4313,28,71,99,11,44,58,116991,0.02%,0.06%,0.08%,0.01%,0.04%,0.05%
chr12,19556979,19873735,121536,62,140,235,42,93,157,316756,0.02%,0.04%,0.07%,0.01%,0.03%,0.05%
chr1,231041989,231114621,79573,20,79,128,6,21,36,72632,0.03%,0.11%,0.18%,0.01%,0.03%,0.05%
chr10,70748487,70776738,26128,14,44,68,3,9,14,28251,0.05%,0.16%,0.24%,0.01%,0.03%,0.05%
chr22,21271714,21308037,1399,24,59,86,7,16,18,36323,0.07%,0.16%,0.24%,0.02%,0.04%,0.05%
chr11,93551398,93583697,387804,18,35,43,5,10,16,32299,0.06%,0.11%,0.13%,0.02%,0.03%,0.05%
chr18,43664110,43684300,498,15,33,43,3,8,10,20190,0.07%,0.16%,0.21%,0.01%,0.04%,0.05%
chr1,92940319,92952433,2672,8,13,24,2,4,6,12114,0.07%,0.11%,0.20%,0.02%,0.03%,0.05%
chr12,10851683,10875911,8531,21,50,72,2,8,12,24228,0.09%,0.21%,0.30%,0.01%,0.03%,0.05%
chr20,44509866,44513905,90204,19,33,47,1,2,2,4039,0.47%,0.82%,1.16%,0.02%,0.05%,0.05%
chr11,107992243,108018503,38,5,22,36,2,7,13,26260,0.02%,0.08%,0.14%,0.01%,0.03%,0.05%
chr21,27838528,27945603,116159,34,86,124,14,38,53,107075,0.03%,0.08%,0.12%,0.01%,0.04%,0.05%
chr12,32259769,32536567,636,58,149,237,42,89,137,276798,0.02%,0.05%,0.09%,0.02%,0.03%,0.05%
chr3,185633694,185655924,6434,18,42,68,2,6,11,22230,0.08%,0.19%,0.31%,0.01%,0.03%,0.05%
chr16,21169698,21191937,57146,14,38,71,3,8,11,22239,0.06%,0.17%,0.32%,0.01%,0.04%,0.05%
chr8,8175258,8244008,157285,15,60,92,5,21,34,68750,0.02%,0.09%,0.13%,0.01%,0.03%,0.05%
chr7,95034175,95064510,5445,11,42,66,3,11,15,30335,0.04%,0.14%,0.22%,0.01%,0.04%,0.05%
chr6,117609463,117747018,6098,31,76,126,14,39,68,137555,0.02%,0.06%,0.09%,0.01%,0.03%,0.05%
chr20,62496596,62522898,7165,30,62,95,4,9,13,26302,0.11%,0.24%,0.36%,0.02%,0.03%,0.05%
chr12,119616447,119658936,26353,37,93,124,7,18,21,42489,0.09%,0.22%,0.29%,0.02%,0.04%,0.05%
chr2,207516345,207583120,391475,24,51,78,8,19,33,66775,0.04%,0.08%,0.12%,0.01%,0.03%,0.05%
chr8,96257147,96281429,157657,25,63,99,4,10,12,24282,0.10%,0.26%,0.41%,0.02%,0.04%,0.05%
chr2,24252210,24272445,80304,17,38,57,4,6,10,20235,0.08%,0.19%,0.28%,0.02%,0.03%,0.05%
chr3,122628041,122747452,54437,29,72,110,14,38,59,119411,0.02%,0.06%,0.09%,0.01%,0.03%,0.05%
chr21,35747779,35780164,54065,19,46,70,5,11,16,32385,0.06%,0.14%,0.22%,0.02%,0.03%,0.05%
chr19,38734675,38783254,10653,15,47,66,5,18,24,48579,0.03%,0.10%,0.14%,0.01%,0.04%,0.05%
chr4,156680144,156728743,2983,12,45,84,3,13,24,48599,0.02%,0.09%,0.17%,0.01%,0.03%,0.05%
chr8,49830249,49834299,6591,6,21,28,2,2,2,4050,0.15%,0.52%,0.69%,0.05%,0.05%,0.05%
chr10,81910645,81965328,311,27,65,107,6,17,27,54683,0.05%,0.12%,0.20%,0.01%,0.03%,0.05%
chr8,104310661,104345094,8323,15,38,76,4,10,17,34433,0.04%,0.11%,0.22%,0.01%,0.03%,0.05%
chr19,19256376,19302967,729991,21,39,61,4,14,23,46591,0.05%,0.08%,0.13%,0.01%,0.03%,0.05%
chr19,16272179,16284336,117286,25,55,78,1,2,6,12157,0.21%,0.45%,0.64%,0.01%,0.02%,0.05%
chr1,8377886,8404227,50651,13,34,59,1,4,13,26341,0.05%,0.13%,0.22%,0.00%,0.02%,0.05%
chr14,24658363,24682679,10548,13,30,52,4,7,12,24316,0.05%,0.12%,0.21%,0.02%,0.03%,0.05%
chr5,141303373,141321612,9812,27,64,100,4,9,9,18239,0.15%,0.35%,0.55%,0.02%,0.05%,0.05%
chr2,201450591,201541787,316,21,63,112,8,22,45,91196,0.02%,0.07%,0.12%,0.01%,0.02%,0.05%
chr19,38795753,38807913,90522,13,44,61,3,6,6,12160,0.11%,0.36%,0.50%,0.02%,0.05%,0.05%
chr2,31395924,31456724,440854,23,69,113,6,19,30,60800,0.04%,0.11%,0.19%,0.01%,0.03%,0.05%
chr16,81272053,81324747,53630,38,85,123,8,19,26,52694,0.07%,0.16%,0.23%,0.02%,0.04%,0.05%
chr1,163236366,163325554,83540,25,71,116,10,29,44,89188,0.03%,0.08%,0.13%,0.01%,0.03%,0.05%
chr14,24658349,24682679,10548,13,30,52,4,7,12,24330,0.05%,0.12%,0.21%,0.02%,0.03%,0.05%
chr2,238969530,239008054,51540,21,54,95,4,9,19,38524,0.05%,0.14%,0.25%,0.01%,0.02%,0.05%
chr4,119809996,119982402,171024,30,101,156,15,52,85,172406,0.02%,0.06%,0.09%,0.01%,0.03%,0.05%
chr1,7844380,7905237,8863,19,52,100,6,17,30,60857,0.03%,0.09%,0.16%,0.01%,0.03%,0.05%
chr7,116916685,116963343,7472,22,43,51,6,15,23,46658,0.05%,0.09%,0.11%,0.01%,0.03%,0.05%
chr2,101618177,101640494,6160,14,47,85,2,4,11,22317,0.06%,0.21%,0.38%,0.01%,0.02%,0.05%
chr5,176758563,176778853,10960,13,24,42,4,7,10,20290,0.06%,0.12%,0.21%,0.02%,0.03%,0.05%
chr14,74111578,74170435,83544,26,59,99,9,14,29,58857,0.04%,0.10%,0.17%,0.02%,0.02%,0.05%
chr1,20008706,20126438,255104,36,96,133,21,40,58,117732,0.03%,0.08%,0.11%,0.02%,0.03%,0.05%
chr5,176910395,176924607,9260,15,27,39,4,7,7,14212,0.11%,0.19%,0.27%,0.03%,0.05%,0.05%
chr3,32433163,32524559,112616,34,86,138,8,23,45,91396,0.04%,0.09%,0.15%,0.01%,0.03%,0.05%
chr11,113603909,113644533,9183,26,60,87,7,17,20,40624,0.06%,0.15%,0.21%,0.02%,0.04%,0.05%
chr10,18240768,18332221,221074,18,55,104,7,23,45,91453,0.02%,0.06%,0.11%,0.01%,0.03%,0.05%
chr7,16501106,16570205,25928,27,62,103,9,19,34,69099,0.04%,0.09%,0.15%,0.01%,0.03%,0.05%
chr4,155484108,155492238,2244,16,32,52,0,2,4,8130,0.20%,0.39%,0.64%,0.00%,0.02%,0.05%
chr8,145998499,146012730,80778,13,28,40,1,6,7,14231,0.09%,0.20%,0.28%,0.01%,0.04%,0.05%
chr6,38683117,38998301,1769,49,136,206,36,104,155,315184,0.02%,0.04%,0.07%,0.01%,0.03%,0.05%
chr1,155141884,155145951,200185,7,18,29,1,2,2,4067,0.17%,0.44%,0.71%,0.02%,0.05%,0.05%
chr8,110975874,110988076,27012,10,25,32,2,6,6,12202,0.08%,0.20%,0.26%,0.02%,0.05%,0.05%
chr16,3451235,3459370,7727,16,39,61,0,3,4,8135,0.20%,0.48%,0.75%,0.00%,0.04%,0.05%
chr17,5402747,5522744,22861,27,76,124,12,37,59,119997,0.02%,0.06%,0.10%,0.01%,0.03%,0.05%
chr9,72435709,72521148,138255,19,57,101,9,24,42,85439,0.02%,0.07%,0.12%,0.01%,0.03%,0.05%
chr8,103216730,103251346,50484,19,50,75,4,12,17,34616,0.05%,0.14%,0.22%,0.01%,0.03%,0.05%
chr3,122246771,122283424,83666,20,47,72,5,15,18,36653,0.05%,0.13%,0.20%,0.01%,0.04%,0.05%
chr8,130760442,130799134,56169,22,57,82,5,13,19,38692,0.06%,0.15%,0.21%,0.01%,0.03%,0.05%
chr20,44313292,44333658,280664,19,42,61,2,7,10,20366,0.09%,0.21%,0.30%,0.01%,0.03%,0.05%
chr15,79213400,79241916,1512,25,55,80,1,5,14,28516,0.09%,0.19%,0.28%,0.00%,0.02%,0.05%
chr17,48796905,48833574,51747,16,43,66,5,15,18,36669,0.04%,0.12%,0.18%,0.01%,0.04%,0.05%
chr17,75082798,75213179,6397,41,130,209,17,45,64,130381,0.03%,0.10%,0.16%,0.01%,0.03%,0.05%
chr10,77157588,77161664,84858,6,17,28,0,2,2,4076,0.15%,0.42%,0.69%,0.00%,0.05%,0.05%
chr13,31506840,31549639,122046,26,67,112,3,11,21,42799,0.06%,0.16%,0.26%,0.01%,0.03%,0.05%
chr7,7196565,7288282,56913,44,93,158,11,26,45,91717,0.05%,0.10%,0.17%,0.01%,0.03%,0.05%
chr8,144873090,144897549,23513,21,56,81,7,10,12,24459,0.09%,0.23%,0.33%,0.03%,0.04%,0.05%
chr5,94727048,94786158,153643,18,40,53,9,21,29,59110,0.03%,0.07%,0.09%,0.02%,0.04%,0.05%
chr2,74648805,74652882,84058,6,11,14,0,1,2,4077,0.15%,0.27%,0.34%,0.00%,0.02%,0.05%
chr11,117947753,117992605,56649,22,51,70,5,17,22,44852,0.05%,0.11%,0.16%,0.01%,0.04%,0.05%
chr2,88469835,88486146,55258,15,39,67,1,3,8,16311,0.09%,0.24%,0.41%,0.01%,0.02%,0.05%
chr16,82181403,82203831,10200,32,50,69,4,8,11,22428,0.14%,0.22%,0.31%,0.02%,0.04%,0.05%
chr13,49794474,49796513,2862,6,18,28,0,0,1,2039,0.29%,0.88%,1.37%,0.00%,0.00%,0.05%
chr19,21905568,21950430,163227,21,61,96,3,12,22,44862,0.05%,0.14%,0.21%,0.01%,0.03%,0.05%
chr16,67188083,67194201,8717,5,6,9,1,3,3,6118,0.08%,0.10%,0.15%,0.02%,0.05%,0.05%
chr8,145691426,145699585,90990,18,36,44,2,4,4,8159,0.22%,0.44%,0.54%,0.02%,0.05%,0.05%
chr16,75476952,75499395,124491,26,42,71,4,6,11,22443,0.12%,0.19%,0.32%,0.02%,0.03%,0.05%
chr7,105245514,105517050,222255,49,137,224,30,80,133,271536,0.02%,0.05%,0.08%,0.01%,0.03%,0.05%
chr17,5264258,5323480,4927,22,51,82,11,24,29,59222,0.04%,0.09%,0.14%,0.02%,0.04%,0.05%
chr20,2462463,2505348,79175,19,50,82,4,15,21,42885,0.04%,0.12%,0.19%,0.01%,0.03%,0.05%
chr11,68671310,68708070,3508,16,38,68,4,8,18,36760,0.04%,0.10%,0.18%,0.01%,0.02%,0.05%
chr19,45504688,45541452,5971,21,45,67,4,9,18,36764,0.06%,0.12%,0.18%,0.01%,0.02%,0.05%
chr1,153606525,153618782,26097,20,29,37,2,4,6,12257,0.16%,0.24%,0.30%,0.02%,0.03%,0.05%
chr1,154897210,154909467,10654,13,32,45,1,4,6,12257,0.11%,0.26%,0.37%,0.01%,0.03%,0.05%
chr9,133539981,133558368,59335,14,41,62,2,4,9,18387,0.08%,0.22%,0.34%,0.01%,0.02%,0.05%
chr9,95176527,95186743,4958,4,11,16,2,3,5,10216,0.04%,0.11%,0.16%,0.02%,0.03%,0.05%
chr6,44094651,44123256,55362,19,56,108,6,7,14,28605,0.07%,0.20%,0.38%,0.02%,0.02%,0.05%
chr4,187508937,187647876,2195,36,91,164,14,38,68,138939,0.03%,0.07%,0.12%,0.01%,0.03%,0.05%
chr8,27491385,27534293,51435,23,52,76,6,13,21,42908,0.05%,0.12%,0.18%,0.01%,0.03%,0.05%
chr9,131464802,131483197,29941,9,22,31,1,3,9,18395,0.05%,0.12%,0.17%,0.01%,0.02%,0.05%
chr19,19256377,19303400,100271849,21,39,61,4,14,23,47023,0.04%,0.08%,0.13%,0.01%,0.03%,0.05%
chr13,61983818,62002220,64881,12,41,67,2,4,9,18402,0.07%,0.22%,0.36%,0.01%,0.02%,0.05%
chr12,109915207,109974507,89910,24,82,113,5,22,29,59300,0.04%,0.14%,0.19%,0.01%,0.04%,0.05%
chr4,81105033,81125483,56978,16,33,46,2,5,10,20450,0.08%,0.16%,0.22%,0.01%,0.02%,0.05%
chr3,12938719,13114617,9922,33,101,165,14,46,86,175898,0.02%,0.06%,0.09%,0.01%,0.03%,0.05%
chr1,227085237,227175246,56997,16,54,110,7,20,44,90009,0.02%,0.06%,0.12%,0.01%,0.02%,0.05%
chr11,98891683,100229616,53942,127,412,699,116,383,654,1337933,0.01%,0.03%,0.05%,0.01%,0.03%,0.05%
chr3,48599160,48601206,90226,6,12,19,0,0,1,2046,0.29%,0.59%,0.93%,0.00%,0.00%,0.05%
chr4,38665817,38702663,51274,20,56,87,4,11,18,36846,0.05%,0.15%,0.24%,0.01%,0.03%,0.05%
chr5,135257968,135290723,3950,21,51,89,6,7,16,32755,0.06%,0.16%,0.27%,0.02%,0.02%,0.05%
chr12,21621845,21654603,5965,21,53,79,6,9,16,32758,0.06%,0.16%,0.24%,0.02%,0.03%,0.05%
chr3,195941093,196014828,5130,29,86,143,9,23,36,73735,0.04%,0.12%,0.19%,0.01%,0.03%,0.05%
chr16,11929056,11945442,26156,13,36,52,3,7,8,16386,0.08%,0.22%,0.32%,0.02%,0.04%,0.05%
chr14,74486056,74549566,80127,22,58,95,8,18,31,63510,0.03%,0.09%,0.15%,0.01%,0.03%,0.05%
chr8,146024261,146036554,340385,14,33,47,1,4,6,12293,0.11%,0.27%,0.38%,0.01%,0.03%,0.05%
chr2,30454397,30546596,81606,29,73,98,12,37,45,92199,0.03%,0.08%,0.11%,0.01%,0.04%,0.05%
chr20,48697661,48732496,7335,17,39,69,2,7,17,34835,0.05%,0.11%,0.20%,0.01%,0.02%,0.05%
chr1,155204243,155214490,2629,7,15,22,1,1,5,10247,0.07%,0.15%,0.21%,0.01%,0.01%,0.05%
chr1,156252726,156262976,84283,15,37,57,1,4,5,10250,0.15%,0.36%,0.56%,0.01%,0.04%,0.05%
chr2,99771418,99779620,51601,4,15,24,1,3,4,8202,0.05%,0.18%,0.29%,0.01%,0.04%,0.05%
chr1,212899495,212965124,25936,26,69,106,7,22,32,65629,0.04%,0.11%,0.16%,0.01%,0.03%,0.05%
chr3,183852826,184402546,8893,77,214,357,53,156,268,549720,0.01%,0.04%,0.06%,0.01%,0.03%,0.05%
chr22,37764000,37823505,114794,21,60,97,4,21,29,59505,0.04%,0.10%,0.16%,0.01%,0.04%,0.05%
chr9,134133463,134151934,286336,15,45,67,3,5,9,18471,0.08%,0.24%,0.36%,0.02%,0.03%,0.05%
chr10,11962021,12085169,26019,40,94,143,19,39,60,123148,0.03%,0.08%,0.12%,0.02%,0.03%,0.05%
chr8,104426942,104455681,25879,17,46,93,3,7,14,28739,0.06%,0.16%,0.32%,0.01%,0.02%,0.05%
chr19,4044362,4066943,51341,17,51,78,3,7,11,22581,0.08%,0.23%,0.35%,0.01%,0.03%,0.05%
chr8,1703944,1734738,2055,41,104,165,7,15,15,30794,0.13%,0.34%,0.54%,0.02%,0.05%,0.05%
chr17,34639793,34641846,9560,17,43,56,0,0,1,2053,0.83%,2.09%,2.73%,0.00%,0.00%,0.05%
chr19,50321539,50342073,81857,14,33,61,2,5,10,20534,0.07%,0.16%,0.30%,0.01%,0.02%,0.05%
chr13,112721913,112726020,6656,15,47,72,1,3,2,4107,0.37%,1.14%,1.75%,0.02%,0.07%,0.05%
chr3,33038100,33138722,643853,23,60,100,13,30,49,100622,0.02%,0.06%,0.10%,0.01%,0.03%,0.05%
chr3,33038100,33138722,2720,23,60,100,13,30,49,100622,0.02%,0.06%,0.10%,0.01%,0.03%,0.05%
chr7,6728064,6746554,7559,13,39,54,3,6,9,18490,0.07%,0.21%,0.29%,0.02%,0.03%,0.05%
chr19,45882892,45909607,10848,12,39,69,3,8,13,26715,0.04%,0.15%,0.26%,0.01%,0.03%,0.05%
chr6,39867354,39902290,4337,16,39,59,3,12,17,34936,0.05%,0.11%,0.17%,0.01%,0.03%,0.05%
chr14,69846848,69865344,2079,19,42,78,3,5,9,18496,0.10%,0.23%,0.42%,0.02%,0.03%,0.05%
chr1,11866207,11903201,1185,25,64,95,5,12,18,36994,0.07%,0.17%,0.26%,0.01%,0.03%,0.05%
chr6,52285106,52387892,114327,35,102,163,10,24,50,102786,0.03%,0.10%,0.16%,0.01%,0.02%,0.05%
chr7,128828713,128853386,6608,21,42,69,2,4,12,24673,0.09%,0.17%,0.28%,0.01%,0.02%,0.05%
chr19,1285890,1378430,84939,27,66,99,11,34,45,92540,0.03%,0.07%,0.11%,0.01%,0.04%,0.05%
chr7,47735328,48019178,3364,48,129,196,36,93,138,283850,0.02%,0.05%,0.07%,0.01%,0.03%,0.05%
chr8,18384811,18942240,23362,94,235,374,67,172,271,557429,0.02%,0.04%,0.07%,0.01%,0.03%,0.05%
chr16,50280048,50352046,113,15,48,84,6,21,35,71998,0.02%,0.07%,0.12%,0.01%,0.03%,0.05%
chr1,236849754,236927931,88,21,46,79,11,20,38,78177,0.03%,0.06%,0.10%,0.01%,0.03%,0.05%
chr2,27665233,27669348,200634,4,14,23,0,1,2,4115,0.10%,0.34%,0.56%,0.00%,0.02%,0.05%
chr2,204732509,204738683,1493,16,31,50,1,2,3,6174,0.26%,0.50%,0.81%,0.02%,0.03%,0.05%
chr16,16043434,16236931,4363,38,89,154,24,51,94,193497,0.02%,0.05%,0.08%,0.01%,0.03%,0.05%
chr2,219724544,219738955,7475,13,21,26,0,4,7,14411,0.09%,0.15%,0.18%,0.00%,0.03%,0.05%
chr8,144386554,144442149,116447,28,77,127,9,19,27,55595,0.05%,0.14%,0.23%,0.02%,0.03%,0.05%
chr1,12976450,12980569,441871,22,46,70,1,2,2,4119,0.53%,1.12%,1.70%,0.02%,0.05%,0.05%
chr7,56119323,56131682,908,15,37,56,2,4,6,12359,0.12%,0.30%,0.45%,0.02%,0.03%,0.05%
chr3,13857755,13921618,7476,25,49,76,12,22,31,63863,0.04%,0.08%,0.12%,0.02%,0.03%,0.05%
chr17,41924516,41940997,146894,15,33,48,3,5,8,16481,0.09%,0.20%,0.29%,0.02%,0.03%,0.05%
chr1,157483167,157522310,83416,16,47,72,7,13,19,39143,0.04%,0.12%,0.18%,0.02%,0.03%,0.05%
chr9,35073832,35080013,2189,8,17,35,0,1,3,6181,0.13%,0.28%,0.57%,0.00%,0.02%,0.05%
chr20,36974759,37005665,3929,24,52,73,6,11,15,30906,0.08%,0.17%,0.24%,0.02%,0.04%,0.05%
chr18,29027758,29058665,1830,16,39,58,5,11,15,30907,0.05%,0.13%,0.19%,0.02%,0.04%,0.05%
chr17,43971748,44105700,4137,40,105,137,16,48,65,133952,0.03%,0.08%,0.10%,0.01%,0.04%,0.05%
chr1,62702651,62785085,163782,26,80,124,6,25,40,82434,0.03%,0.10%,0.15%,0.01%,0.03%,0.05%
chr21,46188955,46221934,7327,37,105,157,3,11,16,32979,0.11%,0.32%,0.48%,0.01%,0.03%,0.05%
chr21,15743436,15755805,6782,22,55,102,3,5,6,12369,0.18%,0.44%,0.82%,0.02%,0.04%,0.05%
chr5,68513587,68525956,92259,12,30,42,1,4,6,12369,0.10%,0.24%,0.34%,0.01%,0.03%,0.05%
chr1,149900543,149908791,10903,11,22,28,1,3,4,8248,0.13%,0.27%,0.34%,0.01%,0.04%,0.05%
chr16,19868616,19897489,51704,7,28,42,2,9,14,28873,0.02%,0.10%,0.15%,0.01%,0.03%,0.05%
chr18,70409549,70535381,81832,31,93,126,14,46,61,125832,0.02%,0.07%,0.10%,0.01%,0.04%,0.05%
chr3,59735036,61237133,2272,190,487,787,175,454,728,1502097,0.01%,0.03%,0.05%,0.01%,0.03%,0.05%
chr12,94542499,94701451,10154,37,87,140,17,43,77,158952,0.02%,0.05%,0.09%,0.01%,0.03%,0.05%
chr20,21686297,21696620,5075,7,13,16,3,4,5,10323,0.07%,0.13%,0.15%,0.03%,0.04%,0.05%
chr7,138710452,138720775,92092,17,27,47,2,4,5,10323,0.16%,0.26%,0.46%,0.02%,0.04%,0.05%
chr19,50145382,50161899,58506,19,36,52,1,5,8,16517,0.12%,0.22%,0.31%,0.01%,0.03%,0.05%
chr11,27352374,27385415,91057,12,40,52,2,13,16,33041,0.04%,0.12%,0.16%,0.01%,0.04%,0.05%
chr17,48450581,48458844,146956,25,61,90,2,3,4,8263,0.30%,0.74%,1.09%,0.02%,0.04%,0.05%
chr20,31571579,31592239,140732,15,44,55,4,7,10,20660,0.07%,0.21%,0.27%,0.02%,0.03%,0.05%
chr10,127700950,128077024,8038,49,160,236,37,114,182,376074,0.01%,0.04%,0.06%,0.01%,0.03%,0.05%
chr21,34804792,34852318,757,12,34,59,5,12,23,47526,0.03%,0.07%,0.12%,0.01%,0.03%,0.05%
chr3,63213991,63602597,132204,67,177,261,49,124,188,388606,0.02%,0.05%,0.07%,0.01%,0.03%,0.05%
chr15,101459420,101610317,79705,39,100,155,18,44,73,150897,0.03%,0.07%,0.10%,0.01%,0.03%,0.05%
chr22,29601840,29655586,129080,7,33,59,2,15,26,53746,0.01%,0.06%,0.11%,0.00%,0.03%,0.05%
chr4,37892708,38140796,23216,42,134,206,22,77,120,248088,0.02%,0.05%,0.08%,0.01%,0.03%,0.05%
chr22,24129150,24176703,6598,22,57,92,5,16,23,47553,0.05%,0.12%,0.19%,0.01%,0.03%,0.05%
chr19,3630181,3700477,23396,43,85,131,10,23,34,70296,0.06%,0.12%,0.19%,0.01%,0.03%,0.05%
chr19,52359055,52394203,84765,29,55,88,7,9,17,35148,0.08%,0.16%,0.25%,0.02%,0.03%,0.05%
chr9,4792869,4885917,10171,35,91,133,13,34,45,93048,0.04%,0.10%,0.14%,0.01%,0.04%,0.05%
chr6,80341000,80413372,83699,25,74,97,9,27,35,72372,0.03%,0.10%,0.13%,0.01%,0.04%,0.05%
chr20,44689624,44718591,57727,17,54,86,3,11,14,28967,0.06%,0.19%,0.30%,0.01%,0.04%,0.05%
chr2,207938861,208031991,8609,20,63,103,6,28,45,93130,0.02%,0.07%,0.11%,0.01%,0.03%,0.05%
chr1,6673745,6684093,148479,10,36,45,1,4,5,10348,0.10%,0.35%,0.43%,0.01%,0.04%,0.05%
chr2,220036619,220042828,27013,13,23,30,1,3,3,6209,0.21%,0.37%,0.48%,0.02%,0.05%,0.05%
chr16,4364762,4389598,84662,19,36,58,4,7,12,24836,0.08%,0.14%,0.23%,0.02%,0.03%,0.05%
chr8,74851404,74884522,6921,20,31,51,6,8,16,33118,0.06%,0.09%,0.15%,0.02%,0.02%,0.05%
chr17,1732996,1803376,6117,33,90,151,7,22,34,70380,0.05%,0.13%,0.21%,0.01%,0.03%,0.05%
chr13,28577411,28674729,2322,27,54,82,16,28,47,97318,0.03%,0.06%,0.08%,0.02%,0.03%,0.05%
chr9,35609530,35646807,971,8,27,52,2,10,18,37277,0.02%,0.07%,0.14%,0.01%,0.03%,0.05%
chr4,76922428,76928641,4283,18,36,75,2,3,3,6213,0.29%,0.58%,1.21%,0.03%,0.05%,0.05%
chr11,34460472,34493609,847,20,59,96,2,10,16,33137,0.06%,0.18%,0.29%,0.01%,0.03%,0.05%
chr11,95709762,96076344,84441,41,120,212,36,96,177,366582,0.01%,0.03%,0.06%,0.01%,0.03%,0.05%
chr17,39722096,39728310,3857,18,37,54,1,2,3,6214,0.29%,0.60%,0.87%,0.02%,0.03%,0.05%
chr2,28615315,28640179,2355,26,49,76,1,7,12,24864,0.10%,0.20%,0.31%,0.00%,0.03%,0.05%
chr1,196788887,196801319,3078,8,20,43,0,2,6,12432,0.06%,0.16%,0.35%,0.00%,0.02%,0.05%
chr1,39328636,39347289,26292,16,49,77,4,6,9,18653,0.09%,0.26%,0.41%,0.02%,0.03%,0.05%
chr17,18538319,18565263,254272,9,28,41,3,12,13,26944,0.03%,0.10%,0.15%,0.01%,0.04%,0.05%
chr12,51347705,51364289,613227,12,32,43,2,8,8,16584,0.07%,0.19%,0.26%,0.01%,0.05%,0.05%
chr1,86814344,86862023,57489,20,67,104,2,16,23,47679,0.04%,0.14%,0.22%,0.00%,0.03%,0.05%
chr14,65412532,65439494,376267,14,27,46,3,8,13,26962,0.05%,0.10%,0.17%,0.01%,0.03%,0.05%
chr14,70838148,70883778,55333,23,58,92,8,17,22,45630,0.05%,0.13%,0.20%,0.02%,0.04%,0.05%
chr3,190917030,190983404,344901,23,61,99,8,25,32,66374,0.03%,0.09%,0.15%,0.01%,0.04%,0.05%
chr3,10289707,10322902,9797,12,46,77,3,11,16,33195,0.04%,0.14%,0.23%,0.01%,0.03%,0.05%
